671	292
1048	193
131	203
167	146
476	146
255	146
25	193
1120	193
290	261
54	193
119	261
33	41
1103	210
830	152
893	243
923	39
749	218
829	193
796	269
653	146
753	41
1126	218
121	193
344	241
150	231
126	175
744	279
1049	221
359	193
651	193
362	146
260	146
919	80
208	221
1060	193
1107	39
183	29
727	218
1089	193
1072	193
334	207
715	146
65	118
112	193
565	193
62	146
275	191
125	193
526	146
964	251
307	78
893	193
360	193
617	118
576	43
865	261
261	193
406	94
41	74
783	193
254	146
146	146
279	63
692	146
907	261
420	41
976	146
373	197
871	265
738	146
410	146
991	193
983	1
879	193
483	18
1089	6
61	41
4	43
354	193
55	146
1117	146
463	193
444	193
577	158
796	39
29	169
842	193
515	146
972	222
514	18
817	261
390	146
217	98
81	38
730	63
213	146
305	41
538	120
224	146
355	108
825	80
328	132
594	204
524	193
85	158
935	39
629	146
993	193
968	193
126	217
405	261
961	78
1169	146
1147	78
376	146
355	138
906	41
580	28
723	3
9	63
1166	193
673	146
773	55
686	261
403	29
806	118
420	251
989	146
104	29
218	146
997	193
287	41
396	146
183	80
224	261
1104	78
152	28
1119	193
70	191
848	146
324	227
437	146
460	146
136	193
781	193
579	63
1016	79
719	193
7	146
944	63
547	193
417	146
765	175
552	175
349	261
1064	82
683	283
145	63
958	146
50	45
736	96
782	291
275	227
872	193
743	118
1014	193
489	41
236	41
443	146
220	193
1024	241
163	118
997	241
525	146
20	261
1132	146
659	146
213	198
1052	261
256	119
206	146
878	41
765	261
602	80
740	275
286	28
390	41
498	193
777	193
162	214
87	221
934	193
682	118
843	118
923	146
107	146
402	175
274	206
1168	146
578	193
138	146
955	150
517	63
1157	146
425	221
208	80
218	78
72	193
403	221
50	146
472	193
1138	205
1020	235
944	193
325	227
364	118
453	63
411	193
55	193
34	232
915	284
739	193
1116	28
10	184
100	227
331	146
666	118
552	11
1043	60
1086	221
441	193
104	80
997	63
617	146
699	61
670	57
453	241
733	28
147	39
450	278
899	193
8	175
864	80
308	43
994	193
976	138
65	175
892	193
751	193
268	146
904	193
924	120
130	108
846	193
1062	286
1036	193
976	108
834	175
868	39
784	41
851	204
1089	146
115	283
914	193
674	193
297	146
1136	261
1103	175
760	64
919	261
488	69
558	146
220	24
661	290
289	193
747	193
625	146
543	263
239	291
965	39
1120	175
455	162
256	193
883	144
924	39
267	193
239	70
178	193
73	146
58	283
835	146
992	284
778	193
865	68
758	193
997	120
452	39
540	193
28	205
579	231
272	162
212	193
581	63
191	227
300	39
107	261
209	29
1001	120
376	63
850	63
277	193
734	146
1048	39
1082	146
249	80
531	193
538	241
314	146
771	256
259	146
730	146
1016	275
761	6
84	146
423	146
244	190
582	146
1128	18
805	63
456	20
1042	193
671	192
60	193
903	146
442	146
116	261
364	193
990	120
121	63
541	78
127	146
505	204
568	63
519	189
829	146
421	146
939	41
639	63
942	39
373	41
971	146
500	41
729	120
210	146
362	193
33	63
1077	74
130	138
640	14
685	218
1050	118
398	18
751	169
963	169
258	193
31	193
780	146
950	139
649	146
334	146
465	146
1123	63
68	292
908	146
581	193
882	41
147	146
886	193
1075	261
639	120
570	193
87	183
991	39
348	146
675	175
1036	172
411	146
479	158
813	118
359	43
497	151
633	78
1080	126
878	193
673	224
218	175
628	146
484	39
194	146
794	290
328	289
1025	208
548	261
16	146
291	60
374	193
998	218
132	63
303	193
35	63
184	39
619	193
247	146
575	87
201	193
584	120
265	80
16	72
995	221
1148	146
213	175
36	261
86	146
101	218
968	146
461	193
1046	175
1043	146
1133	146
473	193
481	193
12	175
756	218
956	63
36	221
285	28
988	193
1124	146
665	28
201	63
989	63
837	193
785	146
638	6
540	41
744	175
1174	251
731	165
741	193
501	193
977	63
296	29
462	141
952	292
908	175
1089	278
810	41
1002	34
17	20
1005	261
372	146
91	193
617	175
581	146
103	39
617	78
789	193
879	119
697	78
193	82
392	193
822	39
977	120
357	132
571	6
973	41
1005	118
751	41
947	146
1067	41
9	120
60	183
640	204
504	112
676	193
232	146
589	200
390	193
313	146
587	132
817	193
47	80
70	193
1063	172
850	146
962	193
1152	28
119	193
100	193
107	193
567	41
1098	218
511	169
1028	193
515	193
886	41
723	28
3	193
1134	78
251	158
600	218
250	146
51	261
1144	146
666	175
53	146
402	252
168	41
1078	74
530	176
165	78
178	146
1146	80
586	146
553	193
392	63
73	12
206	28
148	19
603	41
106	41
309	221
363	80
399	146
1073	218
385	85
186	146
606	251
362	261
1172	193
629	42
780	41
262	193
834	78
352	193
1138	184
830	146
510	191
383	18
498	169
1037	146
538	239
57	193
627	43
150	41
981	146
97	278
117	193
1178	169
189	218
1143	78
576	66
